id,text,image_path,true_label,generated_text
awxhir,my walgreens offbrand mucinex was engraved with the letters mucinex but in a different order,awxhir.jpg,1,walgreens offbrand mucinex was engraved with the letters mucinex but in a different order
98pbid,this concerned sink with a tiny hat,98pbid.jpg,0,yes this is the image
6f2cy5,hackers leak emails from uae ambassador to us,6f2cy5.jpg,1,a uae diplomat has been hacked by hackers who stole his private emails
8gnet9,i found a face in my sheet music too,8gnet9.jpg,0,i found a face in my sheet music too
2vkbtj,bride and groom exchange vows after fatal shooting at their wedding,2vkbtj.jpg,1,a bride and groom exchange vows after a fatal shooting at their wedding
6d50rl,major thermos,6d50rl.jpg,0,a major thermos is a thermometer that is used to measure the temperature of liquids
86byl8,rabbi meat from cloned pig could be kosher for jews to eat with milk,86byl8.jpg,1,a rabbi explains that meat from a cloned pig could be kosher for jews to eat
cgp0lmq,cutouts,cgp0lmq.jpg,0,a cutout is a piece of a piece of a piece of a piece of a piece of a piece of a piece of a piece of a piece of a piece of a piece of 
98vrcq,jesus christ converting local teens to christianity repainted and then circa ad,98vrcq.jpg,0,christianity is a religion that is based on the teachings of jesus christianity is a religion that is based on the teachings of jesus christianity is a
bmg5cj,victory the great european crusade vichy france,bmg5cj.jpg,0,victoria victoria victoria victoria victoria victoria victoria victoria victoria victoria victoria victoria vic
4zd1tb,english village becomes climate leader by quietly cleaning up its own patch,4zd1tb.jpg,1,a village in england has become a climate leader after a campaign to clean up its own patch
cocpysr,i aint flying over no moon,cocpysr.jpg,0,i aint flying over no moon
9g2b4h,seven doggly sins sloth,9g2b4h.jpg,0,i have a satanistic view of the world
796d3z,cutest baby cow ive seen in my head all day and just enjoy destiny for what it is,796d3z.jpg,0,i have seen the cutest baby cow in my life and just enjoy destiny for what it is
2cfi7g,asian girl wearing virtual reality goggles holding a very surprised looking cat,2cfi7g.jpg,1,asian girl wearing virtual reality goggles holding a very surprised looking cat
bjmfr7,the way the rain made a silhouette of my bike,bjmfr7.jpg,1,the way the rain made a silhouette of my bike
3u0our,how to selfdiagnose yourself with a mental illness in easy steps,3u0our.jpg,0,a man in a suit and tie is standing in front of a computer screen
7asj25,love and peace the washington way soviet union,7asj25.jpg,0,'love and peace the washington way soviet union' is a phrase that has been used in the past
c2mktw,a view of london that you can only see from the strangers bar in the palace of westminster,c2mktw.jpg,1,a view of london from the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower
ctdk4x3,what goes best with genocide red or white i can never remember,ctdk4x3.jpg,0,no the image is not the same as the text
6i2pbj,happy boat with some friends,6i2pbj.jpg,0,a happy boat with some friends
212vud,the tree was angry at me for felling it,212vud.jpg,0,i saw the tree and i saw the tree was angry at me for felling it
22d477,governor chris christie reacts to a statement in an interview,22d477.jpg,1,chris christie reacts to a statement in an interview
1922a5,applying to join the chinese communist party music video w english subtitles,1922a5.jpg,0,i am a member of the chinese communist party
9c9j6v,my dads neighbor used to own ambulance company he is moving so we got to see this,9c9j6v.jpg,1,i used to own a company that made a lot of money from the sale of a company that made a lot of money from the sale of a company that made a lot of money from the sale of a company
c69yqn0,are you not entertained,c69yqn0.jpg,0,"if the image is not the same as the text, then the text is not the same as the image"
15ilmc,creepy guy with creepy hair staring creepily,15ilmc.jpg,1,a creepy guy with creepy hair staring creepily
b7gj1e,rain made this iron slab wall a beautiful red,b7gj1e.jpg,1,a beautiful red color is used in the image
4h209r,president making a point in the parliament,4h209r.jpg,1,a president makes a point in parliament
c8ga79q,stewie,c8ga79q.jpg,0,stewie is a character in the television series stewie and stewie is a character in the television series stewie and stewie is a character in the television series stewie and stewie is 
6ttusb,destiny finally comes to pc on steam but theres a big catch,6ttusb.jpg,0,'destiny finally comes to pc on steam but theres a big catch'
