id,text,image_path,true_label,generated_text
awxhir,my walgreens offbrand mucinex was engraved with the letters mucinex but in a different order,awxhir.jpg,1,No
98pbid,this concerned sink with a tiny hat,98pbid.jpg,0,No
6f2cy5,hackers leak emails from uae ambassador to us,6f2cy5.jpg,1,No
8gnet9,i found a face in my sheet music too,8gnet9.jpg,0,No
2vkbtj,bride and groom exchange vows after fatal shooting at their wedding,2vkbtj.jpg,1,No
6d50rl,major thermos,6d50rl.jpg,0,No
86byl8,rabbi meat from cloned pig could be kosher for jews to eat with milk,86byl8.jpg,1,No
cgp0lmq,cutouts,cgp0lmq.jpg,0,No
98vrcq,jesus christ converting local teens to christianity repainted and then circa ad,98vrcq.jpg,0,No
bmg5cj,victory the great european crusade vichy france,bmg5cj.jpg,0,No
4zd1tb,english village becomes climate leader by quietly cleaning up its own patch,4zd1tb.jpg,1,No
cocpysr,i aint flying over no moon,cocpysr.jpg,0,No
9g2b4h,seven doggly sins sloth,9g2b4h.jpg,0,No
796d3z,cutest baby cow ive seen in my head all day and just enjoy destiny for what it is,796d3z.jpg,0,No
2cfi7g,asian girl wearing virtual reality goggles holding a very surprised looking cat,2cfi7g.jpg,1,No
bjmfr7,the way the rain made a silhouette of my bike,bjmfr7.jpg,1,No
3u0our,how to selfdiagnose yourself with a mental illness in easy steps,3u0our.jpg,0,No
7asj25,love and peace the washington way soviet union,7asj25.jpg,0,No
c2mktw,a view of london that you can only see from the strangers bar in the palace of westminster,c2mktw.jpg,1,No
ctdk4x3,what goes best with genocide red or white i can never remember,ctdk4x3.jpg,0,No
6i2pbj,happy boat with some friends,6i2pbj.jpg,0,No
212vud,the tree was angry at me for felling it,212vud.jpg,0,No
22d477,governor chris christie reacts to a statement in an interview,22d477.jpg,1,No
1922a5,applying to join the chinese communist party music video w english subtitles,1922a5.jpg,0,No
9c9j6v,my dads neighbor used to own ambulance company he is moving so we got to see this,9c9j6v.jpg,1,No
c69yqn0,are you not entertained,c69yqn0.jpg,0,Yes
15ilmc,creepy guy with creepy hair staring creepily,15ilmc.jpg,1,No
b7gj1e,rain made this iron slab wall a beautiful red,b7gj1e.jpg,1,No
4h209r,president making a point in the parliament,4h209r.jpg,1,No
c8ga79q,stewie,c8ga79q.jpg,0,No
6ttusb,destiny finally comes to pc on steam but theres a big catch,6ttusb.jpg,0,No
3948of,piglets on the loose after truck overturns,3948of.jpg,1,No
chb5foi,quick and obvious,chb5foi.jpg,0,No.
9f7p90,happy fella in my penske rental,9f7p90.jpg,0,No
8fw3po,oo,8fw3po.jpg,0,No
avafi5,this playable cd in the shape of a square,avafi5.jpg,1,No
2auudp,a sun bear sitting down x,2auudp.jpg,1,No
9j3a9w,not sure how i feel about this,9j3a9w.jpg,1,No
39mh2p,fine sushi,39mh2p.jpg,0,No
bl11vl,this car has a door bolt,bl11vl.jpg,1,No
143c94,the shadow,143c94.jpg,1,No
61uy4u,el chapo escapes altiplano prison th,61uy4u.jpg,0,No
chli5s,this lighting desk has oops and please keys,chli5s.jpg,1,No
cpy9p6,bunny rock,cpy9p6.jpg,0,No
15dcu6,excited ashtray,15dcu6.jpg,0,No
auk0vy,this image of spike lee and sam jackson at the oscars,auk0vy.jpg,1,No
c2o619,this is what it looks like behind the dome screen of an omnimax museum theatre,c2o619.jpg,1,No
baydyy,report reveals jesus christ have benefited from fathers influential position to gain highpowered role as lord and savior,baydyy.jpg,0,No
20uup4,barack obama dancing with ellen degeneres,20uup4.jpg,1,No
cftdth3,quit horsing around,cftdth3.jpg,0,No
63r5xj,comfort cases former foster child helps other kids in foster care,63r5xj.jpg,1,No
ckbnyyo,other discussions,ckbnyyo.jpg,0,No
er6eggt,available here,er6eggt.jpg,0,No
c0xtrn,this leaf in the shape of an upvotedownvote,c0xtrn.jpg,1,No
49h4rm,a tattoo artist is covering up the scars of people who have overcome self harm for free,49h4rm.jpg,1,No
7isuvk,this little guy stuck in the snow,7isuvk.jpg,0,No
cf5c7r5,a wedding to bark about,cf5c7r5.jpg,0,No
cmeidmd,looter land,cmeidmd.jpg,0,No
75yogr,your cable company would hate us if it knew we told you about this device on amazon,75yogr.jpg,0,No
cainsb0,theres only one girl in this picture for me,cainsb0.jpg,0,No
9r3pbe,the difference the light makes on these tiles,9r3pbe.jpg,1,No
5hn94m,a fish in the new england aquarium,5hn94m.jpg,1,No
4vblj5,he cant do it alone proempire long long ago date unknown,4vblj5.jpg,0,No
60o1d9,the flying tigers of the free world strike again korean warera leaflet,60o1d9.jpg,0,No
