id,text,image_path,true_label,scores
awxhir,my walgreens offbrand mucinex was engraved with the letters mucinex but in a different order,awxhir.jpg,1,33.26604080200195
98pbid,this concerned sink with a tiny hat,98pbid.jpg,0,16.666217803955078
6f2cy5,hackers leak emails from uae ambassador to us,6f2cy5.jpg,1,29.095294952392578
8gnet9,i found a face in my sheet music too,8gnet9.jpg,0,19.695810317993164
2vkbtj,bride and groom exchange vows after fatal shooting at their wedding,2vkbtj.jpg,1,31.812694549560547
6d50rl,major thermos,6d50rl.jpg,0,28.69040870666504
86byl8,rabbi meat from cloned pig could be kosher for jews to eat with milk,86byl8.jpg,1,28.76340103149414
cgp0lmq,cutouts,cgp0lmq.jpg,0,17.548921585083008
98vrcq,jesus christ converting local teens to christianity repainted and then circa ad,98vrcq.jpg,0,21.908069610595703
bmg5cj,victory the great european crusade vichy france,bmg5cj.jpg,0,27.02557945251465
4zd1tb,english village becomes climate leader by quietly cleaning up its own patch,4zd1tb.jpg,1,27.937456130981445
cocpysr,i aint flying over no moon,cocpysr.jpg,0,22.971845626831055
9g2b4h,seven doggly sins sloth,9g2b4h.jpg,0,28.54583168029785
796d3z,cutest baby cow ive seen in my head all day and just enjoy destiny for what it is,796d3z.jpg,0,21.178848266601562
2cfi7g,asian girl wearing virtual reality goggles holding a very surprised looking cat,2cfi7g.jpg,1,33.022438049316406
bjmfr7,the way the rain made a silhouette of my bike,bjmfr7.jpg,1,27.95502471923828
3u0our,how to selfdiagnose yourself with a mental illness in easy steps,3u0our.jpg,0,19.94832992553711
7asj25,love and peace the washington way soviet union,7asj25.jpg,0,28.376623153686523
c2mktw,a view of london that you can only see from the strangers bar in the palace of westminster,c2mktw.jpg,1,30.644153594970703
ctdk4x3,what goes best with genocide red or white i can never remember,ctdk4x3.jpg,0,22.060131072998047
6i2pbj,happy boat with some friends,6i2pbj.jpg,0,22.009159088134766
212vud,the tree was angry at me for felling it,212vud.jpg,0,29.508899688720703
22d477,governor chris christie reacts to a statement in an interview,22d477.jpg,1,33.63744354248047
1922a5,applying to join the chinese communist party music video w english subtitles,1922a5.jpg,0,32.70380783081055
9c9j6v,my dads neighbor used to own ambulance company he is moving so we got to see this,9c9j6v.jpg,1,23.959096908569336
c69yqn0,are you not entertained,c69yqn0.jpg,0,31.022199630737305
15ilmc,creepy guy with creepy hair staring creepily,15ilmc.jpg,1,28.175466537475586
b7gj1e,rain made this iron slab wall a beautiful red,b7gj1e.jpg,1,27.515281677246094
4h209r,president making a point in the parliament,4h209r.jpg,1,22.370189666748047
c8ga79q,stewie,c8ga79q.jpg,0,21.29802894592285
6ttusb,destiny finally comes to pc on steam but theres a big catch,6ttusb.jpg,0,22.62731170654297
3948of,piglets on the loose after truck overturns,3948of.jpg,1,36.02623748779297
chb5foi,quick and obvious,chb5foi.jpg,0,19.212080001831055
9f7p90,happy fella in my penske rental,9f7p90.jpg,0,27.1759033203125
8fw3po,oo,8fw3po.jpg,0,23.12209701538086
avafi5,this playable cd in the shape of a square,avafi5.jpg,1,19.40617561340332
2auudp,a sun bear sitting down x,2auudp.jpg,1,33.360198974609375
9j3a9w,not sure how i feel about this,9j3a9w.jpg,1,21.8253173828125
39mh2p,fine sushi,39mh2p.jpg,0,27.372509002685547
bl11vl,this car has a door bolt,bl11vl.jpg,1,30.294023513793945
143c94,the shadow,143c94.jpg,1,21.45002555847168
61uy4u,el chapo escapes altiplano prison th,61uy4u.jpg,0,25.1108341217041
chli5s,this lighting desk has oops and please keys,chli5s.jpg,1,24.6448917388916
