id,text,image_path,true_label,generated_text
awxhir,my walgreens offbrand mucinex was engraved with the letters mucinex but in a different order,awxhir.jpg,1,No. i have a walgreens offbrand tylenol but in a different order
98pbid,this concerned sink with a tiny hat,98pbid.jpg,0,Yes. this is a picture of a hat with a tiny hat
6f2cy5,hackers leak emails from uae ambassador to us,6f2cy5.jpg,1,No. 'hackers leak emails from uae ambassador to us'
8gnet9,i found a face in my sheet music too,8gnet9.jpg,0,Yes. i found a face in my sheet music too
2vkbtj,bride and groom exchange vows after fatal shooting at their wedding,2vkbtj.jpg,1,Yes. a bride and groom kiss in the middle of a wedding ceremony
6d50rl,major thermos,6d50rl.jpg,0,Yes. a tee shirt with a hat and a hat
86byl8,rabbi meat from cloned pig could be kosher for jews to eat with milk,86byl8.jpg,1,Yes. rabbi meat from cloned pig could be kosher for jews to eat with milk
cgp0lmq,cutouts,cgp0lmq.jpg,0,Yes. a 'cutout' is a type of shape that is cut out of a shape
98vrcq,jesus christ converting local teens to christianity repainted and then circa ad,98vrcq.jpg,0,No. christianity vs. islam
bmg5cj,victory the great european crusade vichy france,bmg5cj.jpg,0,Yes. victory the great european crusade vs rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome rome
4zd1tb,english village becomes climate leader by quietly cleaning up its own patch,4zd1tb.jpg,1,No. a scottish village becomes a leader in the fight against climate change
cocpysr,i aint flying over no moon,cocpysr.jpg,0,Yes. i aint flying over no moon
9g2b4h,seven doggly sins sloth,9g2b4h.jpg,0,Yes. 'seven doggly sins sloth' seems to match the image
796d3z,cutest baby cow ive seen in my head all day and just enjoy destiny for what it is,796d3z.jpg,0,No. a sexy baby cow i have seen in my head all day and just enjoy destiny for what it is
2cfi7g,asian girl wearing virtual reality goggles holding a very surprised looking cat,2cfi7g.jpg,1,Yes. asian girl wearing virtual reality goggles and holding a cat
bjmfr7,the way the rain made a silhouette of my bike,bjmfr7.jpg,1,Yes. the way the rain made a silhouette of my bike
3u0our,how to selfdiagnose yourself with a mental illness in easy steps,3u0our.jpg,0,Yes. a man in a blue shirt and a blue shirt with a blue shirt and a blue shirt with a blue shirt and a blue shirt with a blue shirt and a blue shirt with a blue shirt and a blue shirt with a blue shirt and a blue shirt with a blue shirt and a blue shirt with a blue shirt and a blue shirt with a blue shirt and a blue shirt with a blue shirt and
7asj25,love and peace the washington way soviet union,7asj25.jpg,0,No. 'love and peace the russian union'
c2mktw,a view of london that you can only see from the strangers bar in the palace of westminster,c2mktw.jpg,1,Yes. a view of london from the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the
ctdk4x3,what goes best with genocide red or white i can never remember,ctdk4x3.jpg,0,Yes. i can't remember
6i2pbj,happy boat with some friends,6i2pbj.jpg,0,Yes. a happy boat with some friends
212vud,the tree was angry at me for felling it,212vud.jpg,0,Yes. the tree was angry at me for cutting it down
22d477,governor chris christie reacts to a statement in an interview,22d477.jpg,1,No. a spokesman for the governor of california resigned from his position
1922a5,applying to join the chinese communist party music video w english subtitles,1922a5.jpg,0,Yes. 'applying to join the chinese communist party music video w english subtitles'
9c9j6v,my dads neighbor used to own ambulance company he is moving so we got to see this,9c9j6v.jpg,1,No. he is moving so we got to see this
c69yqn0,are you not entertained,c69yqn0.jpg,0,Yes. 'are you not entertained' seems to match the image
15ilmc,creepy guy with creepy hair staring creepily,15ilmc.jpg,1,Yes. a creepy guy with creepy hair staring creepily at the camera
b7gj1e,rain made this iron slab wall a beautiful red,b7gj1e.jpg,1,Yes. a beautiful red wall is a perfect example of how a red wall can be used to create a beautiful wall
4h209r,president making a point in the parliament,4h209r.jpg,1,Yes. a president making a point in parliament
c8ga79q,stewie,c8ga79q.jpg,0,Yes. stewie is a character in the tv series ' stewie and stewie
6ttusb,destiny finally comes to pc on steam but theres a big catch,6ttusb.jpg,0,Yes. 'destiny finally comes to pc on steam but theres a big catch'
3948of,piglets on the loose after truck overturns,3948of.jpg,1,Yes. a piglet on the ground after a truck overturned
chb5foi,quick and obvious,chb5foi.jpg,0,Yes. a quick and obvious match
9f7p90,happy fella in my penske rental,9f7p90.jpg,0,Yes. a happy fella in my pen
8fw3po,oo,8fw3po.jpg,0,Yes. ooo
avafi5,this playable cd in the shape of a square,avafi5.jpg,1,Yes. this playable cd in the shape of a square
