id,text,image_path,true_label,generated_text
awxhir,my walgreens offbrand mucinex was engraved with the letters mucinex but in a different order,awxhir.jpg,1,No. walgreens offbrand mucinex was engraved with the letters mucinex but in a different order
98pbid,this concerned sink with a tiny hat,98pbid.jpg,0,Yes. this is a picture of a hat
6f2cy5,hackers leak emails from uae ambassador to us,6f2cy5.jpg,1,No. 'hackers leak emails from uae ambassador to the united states'
8gnet9,i found a face in my sheet music too,8gnet9.jpg,0,Yes. i found a face in my sheet music too
2vkbtj,bride and groom exchange vows after fatal shooting at their wedding,2vkbtj.jpg,1,Yes. a bride and groom exchange vows after a fatal shooting at a wedding
6d50rl,major thermos,6d50rl.jpg,0,Yes. a major thermos is a thermometer that is used to measure the temperature of liquids
86byl8,rabbi meat from cloned pig could be kosher for jews to eat with milk,86byl8.jpg,1,Yes. a rabbi explains that meat from a cloned pig could be kosher for jews to eat
cgp0lmq,cutouts,cgp0lmq.jpg,0,Yes. a 'cutout' is a 'cut'
98vrcq,jesus christ converting local teens to christianity repainted and then circa ad,98vrcq.jpg,0,No. christianity is a religion that is based on the teachings of jesus christianity is a religion that is based on the teachings of jesus christianity
bmg5cj,victory the great european crusade vichy france,bmg5cj.jpg,0,Yes. 'victory the great european crusade' matches the image
4zd1tb,english village becomes climate leader by quietly cleaning up its own patch,4zd1tb.jpg,1,No. a village in england has become a climate leader after cleaning up its own poo
cocpysr,i aint flying over no moon,cocpysr.jpg,0,Yes. i aint flying over no moon
9g2b4h,seven doggly sins sloth,9g2b4h.jpg,0,Yes. 'seven doggly sins sloth' matches the image
796d3z,cutest baby cow ive seen in my head all day and just enjoy destiny for what it is,796d3z.jpg,0,No. 'cutest baby cow i've seen in my head all day and just enjoy destiny for what it is'
2cfi7g,asian girl wearing virtual reality goggles holding a very surprised looking cat,2cfi7g.jpg,1,Yes. asian girl wearing virtual reality goggles holding a very surprised looking cat
bjmfr7,the way the rain made a silhouette of my bike,bjmfr7.jpg,1,Yes. the way the rain made a silhouette of my bike
3u0our,how to selfdiagnose yourself with a mental illness in easy steps,3u0our.jpg,0,Yes. a person with a mental illness is a person who has a mental illness
7asj25,love and peace the washington way soviet union,7asj25.jpg,0,No. 'love and peace the washington way soviet union' does not match the image
c2mktw,a view of london that you can only see from the strangers bar in the palace of westminster,c2mktw.jpg,1,Yes. a view of london from the top of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of the tower of
ctdk4x3,what goes best with genocide red or white i can never remember,ctdk4x3.jpg,0,Yes. i can never remember
6i2pbj,happy boat with some friends,6i2pbj.jpg,0,Yes. a happy boat with some friends
212vud,the tree was angry at me for felling it,212vud.jpg,0,Yes. the tree was angry at me for cutting it down
22d477,governor chris christie reacts to a statement in an interview,22d477.jpg,1,No. a spokesman for the governor of texas said that the governor of texas is not a politician
1922a5,applying to join the chinese communist party music video w english subtitles,1922a5.jpg,0,Yes. 'applying to join the chinese communist party music video w english subtitles' matches the image
9c9j6v,my dads neighbor used to own ambulance company he is moving so we got to see this,9c9j6v.jpg,1,No. i used to own a company that made a lot of money from the sale of a company
c69yqn0,are you not entertained,c69yqn0.jpg,0,Yes. are you not entertained
15ilmc,creepy guy with creepy hair staring creepily,15ilmc.jpg,1,Yes. a creepy guy with creepy hair is creepy
b7gj1e,rain made this iron slab wall a beautiful red,b7gj1e.jpg,1,Yes. a beautiful red color is used to describe the beauty of the red color in the image
4h209r,president making a point in the parliament,4h209r.jpg,1,Yes. a president makes a point in parliament
c8ga79q,stewie,c8ga79q.jpg,0,Yes. stewie is a character in the television series 'stewie and stewie'
6ttusb,destiny finally comes to pc on steam but theres a big catch,6ttusb.jpg,0,Yes. 'destiny finally comes to pc on steam but theres a big catch'
3948of,piglets on the loose after truck overturns,3948of.jpg,1,Yes. a piglet is a small animal that is born from a mother pig
chb5foi,quick and obvious,chb5foi.jpg,0,Yes. 'quick and obvious' is a phrase that is used to describe the 'quick and obvious'
9f7p90,happy fella in my penske rental,9f7p90.jpg,0,Yes. a happy fella in my pen is a happy fella in my pen
8fw3po,oo,8fw3po.jpg,0,Yes. oo is a word that means 'oh'
avafi5,this playable cd in the shape of a square,avafi5.jpg,1,Yes. this is a cd in the shape of a square
2auudp,a sun bear sitting down x,2auudp.jpg,1,Yes. a sun bear sitting down x matches the image
9j3a9w,not sure how i feel about this,9j3a9w.jpg,1,Yes. i'm not sure how i feel about this
39mh2p,fine sushi,39mh2p.jpg,0,Yes. a fine sushi is a sushi that is made with a lot of care and attention
bl11vl,this car has a door bolt,bl11vl.jpg,1,Yes. this car has a door bolt
143c94,the shadow,143c94.jpg,1,Yes. 'the shadow' matches the image
61uy4u,el chapo escapes altiplano prison th,61uy4u.jpg,0,Yes. el chapo escapes altiplano prison th
chli5s,this lighting desk has oops and please keys,chli5s.jpg,1,Yes. this lighting desk has oops and please keys
cpy9p6,bunny rock,cpy9p6.jpg,0,Yes. a 'bunny rock' is a 'bunny rock'
15dcu6,excited ashtray,15dcu6.jpg,0,Yes. a sandbox is a container for storing a variety of objects
auk0vy,this image of spike lee and sam jackson at the oscars,auk0vy.jpg,1,Yes. this image of spike lee and sam jackson at the oscars matches the image
c2o619,this is what it looks like behind the dome screen of an omnimax museum theatre,c2o619.jpg,1,Yes. 'this is what it looks like behind the dome of an omnimax theatre'
baydyy,report reveals jesus christ have benefited from fathers influential position to gain highpowered role as lord and savior,baydyy.jpg,0,No. christianity is a religion that teaches that the savior is the only way to salvation
20uup4,barack obama dancing with ellen degeneres,20uup4.jpg,1,Yes. a dance with ellen degeneres
cftdth3,quit horsing around,cftdth3.jpg,0,Yes. a horse is a horse
63r5xj,comfort cases former foster child helps other kids in foster care,63r5xj.jpg,1,No. a former foster child helps other foster children
ckbnyyo,other discussions,ckbnyyo.jpg,0,Yes. 'other discussions' matches the image
er6eggt,available here,er6eggt.jpg,0,Yes. 'available here' matches the image
c0xtrn,this leaf in the shape of an upvotedownvote,c0xtrn.jpg,1,No. 'this leaf in the shape of an upvotedownvote' does not match the image
49h4rm,a tattoo artist is covering up the scars of people who have overcome self harm for free,49h4rm.jpg,1,Yes. a tattoo artist is covering up the scars of people who have overcome self harm for free
7isuvk,this little guy stuck in the snow,7isuvk.jpg,0,Yes. this little guy stuck in the snow
cf5c7r5,a wedding to bark about,cf5c7r5.jpg,0,Yes. a wedding to bark about
cmeidmd,looter land,cmeidmd.jpg,0,Yes. 'looter land' is a match for the image
75yogr,your cable company would hate us if it knew we told you about this device on amazon,75yogr.jpg,0,"No. if you want to see the image, click on the image and select 'save image as'"
cainsb0,theres only one girl in this picture for me,cainsb0.jpg,0,Yes. theres only one girl in this picture for me
9r3pbe,the difference the light makes on these tiles,9r3pbe.jpg,1,Yes. the difference the light makes on these tiles is the same as the image
5hn94m,a fish in the new england aquarium,5hn94m.jpg,1,Yes. a fish in the new england aquarium
4vblj5,he cant do it alone proempire long long ago date unknown,4vblj5.jpg,0,No. he cant do it alone
60o1d9,the flying tigers of the free world strike again korean warera leaflet,60o1d9.jpg,0,Yes. the text: 'the flying tigers of the free world strike again korean war leaflet' matches the image
